Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Nap
8/28/22 22:03,8/29/22 22:03,UTC-05:00,8/28/22 22:03,8/29/22 3:00,51,17.6,285,295,133,63,89,10,556,63,97,FALSE
8/28/22 2:01,8/28/22 22:03,UTC-05:00,8/28/22 2:01,8/28/22 8:55,73,15.9,347,414,151,79,117,67,476,0,83,FALSE
8/26/22 23:25,8/28/22 2:01,UTC-05:00,8/26/22 23:25,8/27/22 9:13,100,15.9,507,587,242,93,172,80,475,0,86,FALSE
8/25/22 23:30,8/26/22 23:25,UTC-05:00,8/25/22 23:30,8/26/22 10:30,100,16.3,573,659,289,103,181,86,478,0,87,FALSE
8/24/22 22:13,8/25/22 23:30,UTC-05:00,8/24/22 22:13,8/25/22 8:49,100,16.6,540,636,293,97,150,96,534,51,84,FALSE
8/23/22 23:37,8/24/22 22:13,UTC-05:00,8/23/22 23:37,8/24/22 8:09,83,17.7,454,505,173,90,191,51,545,60,90,FALSE
8/22/22 22:51,8/23/22 23:37,UTC-05:00,8/22/22 22:51,8/23/22 6:29,80,18.5,408,458,139,104,165,50,511,18,90,FALSE
8/21/22 20:58,8/22/22 22:51,UTC-05:00,8/21/22 20:58,8/22/22 6:41,94,17.1,515,583,208,130,177,68,548,73,88,FALSE
8/16/22 2:58,8/17/22 2:58,UTC+09:00,8/16/22 2:58,8/16/22 10:13,69,16.6,364,432,116,94,154,68,531,18,84,FALSE
8/15/22 0:56,8/16/22 2:58,UTC+09:00,8/15/22 0:56,8/15/22 9:26,94,16.8,475,505,164,106,205,30,506,134,94,FALSE
8/13/22 23:35,8/15/22 0:56,UTC+09:00,8/14/22 17:42,8/14/22 19:39,18,17.6,109,116,41,22,46,7,615,134,95,TRUE
8/13/22 23:35,8/15/22 0:56,UTC+09:00,8/13/22 23:35,8/14/22 3:35,43,17.3,225,236,91,58,76,11,523,47,96,FALSE
8/13/22 0:31,8/13/22 23:35,UTC+09:00,8/13/22 0:31,8/13/22 8:59,80,16.1,432,507,150,97,185,75,539,51,86,FALSE
8/12/22 0:18,8/13/22 0:31,UTC+09:00,8/12/22 0:18,8/12/22 8:04,78,15.8,409,460,173,84,152,51,523,30,89,FALSE
8/11/22 0:25,8/12/22 0:18,UTC+09:00,8/11/22 0:25,8/11/22 8:57,90,15.8,478,512,192,106,180,34,532,24,93,FALSE
8/10/22 1:34,8/11/22 0:25,UTC+09:00,8/10/22 1:34,8/10/22 10:16,92,15.9,477,521,256,77,144,44,521,24,91,FALSE
8/9/22 1:42,8/10/22 1:34,UTC+09:00,8/9/22 1:42,8/9/22 9:39,92,16.2,445,477,214,74,157,32,484,0,93,FALSE
8/7/22 23:34,8/9/22 1:42,UTC+09:00,8/7/22 23:34,8/8/22 9:01,100,16.7,529,561,302,71,156,32,463,80,94,FALSE
8/7/22 0:03,8/7/22 23:34,UTC+09:00,8/7/22 16:40,8/7/22 18:44,18,17,100,122,60,16,24,22,563,80,92,TRUE
8/7/22 0:03,8/7/22 23:34,UTC+09:00,8/7/22 0:03,8/7/22 6:38,66,16.3,346,380,134,88,124,34,528,47,94,FALSE
8/6/22 0:13,8/7/22 0:03,UTC+09:00,8/6/22 0:13,8/6/22 9:10,80,16.4,484,526,158,121,205,42,602,96,93,FALSE
8/5/22 2:31,8/6/22 0:13,UTC+09:00,8/5/22 2:31,8/5/22 7:34,59,17.1,285,298,124,59,102,13,483,0,96,FALSE
8/4/22 0:09,8/5/22 2:31,UTC+09:00,8/4/22 0:09,8/4/22 9:17,100,16.9,501,547,304,99,98,46,488,0,92,FALSE
8/2/22 23:40,8/4/22 0:09,UTC+09:00,8/2/22 23:40,8/3/22 9:59,100,16.5,536,615,265,104,167,79,516,24,89,FALSE
8/2/22 1:48,8/2/22 23:40,UTC+09:00,8/2/22 1:48,8/2/22 10:26,92,16.3,453,519,153,117,183,66,495,0,87,FALSE
7/31/22 23:56,8/2/22 1:48,UTC+09:00,7/31/22 23:56,8/1/22 9:18,100,16.8,515,562,280,79,156,47,497,9,91,FALSE
7/31/22 0:22,7/31/22 23:56,UTC+09:00,7/31/22 0:22,7/31/22 9:32,97,17.1,506,549,248,67,191,43,522,30,92,FALSE
7/29/22 23:38,7/31/22 0:22,UTC+09:00,7/29/22 23:38,7/30/22 10:19,90,17.1,577,640,226,142,209,63,641,158,90,FALSE
7/29/22 2:54,7/29/22 23:38,UTC+09:00,7/29/22 2:54,7/29/22 6:43,33,17.8,197,225,117,42,38,28,600,82,87,FALSE
7/28/22 4:04,7/29/22 2:54,UTC+09:00,7/28/22 4:04,7/28/22 10:28,65,16.2,344,381,160,54,130,37,532,49,90,FALSE
7/27/22 1:19,7/28/22 4:04,UTC+09:00,7/27/22 1:19,7/27/22 8:39,79,16.8,389,432,135,100,154,43,495,12,92,FALSE
7/26/22 0:06,7/27/22 1:19,UTC+09:00,7/26/22 0:06,7/26/22 9:31,96,16.1,504,563,152,129,223,59,526,33,89,FALSE
7/24/22 23:43,7/26/22 0:06,UTC+09:00,7/24/22 23:43,7/25/22 8:28,86,16.6,466,521,225,97,144,55,545,63,90,FALSE
7/24/22 0:46,7/24/22 23:43,UTC+09:00,7/24/22 0:46,7/24/22 7:21,73,17.2,379,392,143,69,167,13,523,30,96,FALSE
7/23/22 0:30,7/24/22 0:46,UTC+09:00,7/23/22 0:30,7/23/22 8:55,90,16.8,476,503,209,100,167,27,530,49,94,FALSE
7/22/22 3:40,7/23/22 0:30,UTC+09:00,7/22/22 3:40,7/22/22 10:56,79,16.1,400,435,173,78,149,35,509,0,92,FALSE
7/21/22 0:09,7/22/22 3:40,UTC+09:00,7/21/22 0:09,7/21/22 9:54,100,16.1,543,581,269,81,193,38,488,0,93,FALSE
7/19/22 23:40,7/21/22 0:09,UTC+09:00,7/19/22 23:40,7/20/22 9:37,100,16.4,557,596,319,108,130,39,484,0,93,FALSE
7/18/22 23:51,7/19/22 23:40,UTC+09:00,7/18/22 23:51,7/19/22 9:30,100,17.8,535,565,310,87,138,30,489,0,94,FALSE
7/17/22 23:09,7/18/22 23:51,UTC+09:00,7/17/22 23:09,7/18/22 11:04,100,16.8,576,715,217,122,237,139,552,70,80,FALSE
7/16/22 23:55,7/17/22 23:09,UTC+09:00,7/16/22 23:55,7/17/22 6:28,70,16.2,364,394,188,82,94,30,522,18,92,FALSE
7/16/22 0:53,7/16/22 23:55,UTC+09:00,7/16/22 0:53,7/16/22 8:36,94,17.3,431,462,191,99,141,31,461,73,93,FALSE
7/15/22 0:23,7/16/22 0:53,UTC+09:00,7/15/22 10:27,7/15/22 12:10,18,17,98,100,64,17,17,2,547,73,98,TRUE
7/15/22 0:23,7/16/22 0:53,UTC+09:00,7/15/22 0:23,7/15/22 7:49,69,17.1,393,442,139,84,170,49,574,66,89,FALSE
7/13/22 23:29,7/15/22 0:23,UTC+09:00,7/13/22 23:29,7/14/22 6:42,72,16.9,404,433,138,113,153,29,563,63,93,FALSE
7/12/22 22:38,7/13/22 23:29,UTC+09:00,7/12/22 22:38,7/13/22 7:02,79,16.4,450,503,198,99,153,53,571,85,89,FALSE
7/11/22 22:07,7/12/22 22:38,UTC+09:00,7/11/22 22:07,7/12/22 5:28,64,16.9,385,442,212,46,127,57,606,172,87,FALSE
7/10/22 15:23,7/11/22 22:07,UTC+09:00,7/10/22 21:34,7/10/22 22:45,11,19.3,69,71,65,0,4,2,648,172,97,TRUE
7/9/22 1:28,7/10/22 1:23,UTC-05:00,7/9/22 1:28,7/9/22 3:58,27,17.8,138,150,49,33,56,12,515,18,93,FALSE
7/8/22 1:23,7/9/22 1:28,UTC-05:00,7/8/22 1:23,7/8/22 10:27,94,16.6,486,544,152,115,219,58,516,15,89,FALSE
7/7/22 0:31,7/8/22 1:23,UTC-05:00,7/7/22 0:31,7/7/22 9:15,95,16.1,494,524,226,88,180,30,520,30,95,FALSE
7/6/22 2:08,7/7/22 0:31,UTC-05:00,7/6/22 2:08,7/6/22 9:47,87,16.6,430,456,191,96,143,26,493,9,94,FALSE
7/5/22 0:19,7/6/22 2:08,UTC-05:00,7/5/22 0:19,7/5/22 9:24,97,16.5,503,545,274,74,155,42,517,18,92,FALSE
7/3/22 23:57,7/5/22 0:19,UTC-05:00,7/3/22 23:57,7/4/22 8:48,94,16.8,490,530,167,96,227,40,524,47,92,FALSE
7/2/22 23:47,7/3/22 23:57,UTC-05:00,7/2/22 23:47,7/3/22 8:00,80,16.5,459,490,214,89,156,31,575,94,93,FALSE
7/2/22 3:34,7/2/22 23:47,UTC-05:00,7/2/22 3:34,7/2/22 9:25,60,16.4,322,350,100,78,144,28,540,52,92,FALSE
7/1/22 2:06,7/2/22 3:34,UTC-05:00,7/1/22 2:06,7/1/22 9:31,78,16.1,415,445,200,61,154,30,536,18,93,FALSE
6/30/22 1:52,7/1/22 2:06,UTC-05:00,6/30/22 1:52,6/30/22 10:17,94,16.3,451,505,167,114,170,54,479,0,89,FALSE
6/29/22 0:35,6/30/22 1:52,UTC-05:00,6/29/22 0:35,6/29/22 10:43,100,16.1,549,605,288,84,177,56,484,0,91,FALSE
6/28/22 0:16,6/29/22 0:35,UTC-05:00,6/28/22 0:16,6/28/22 9:35,100,16.3,523,559,165,123,235,36,521,33,93,FALSE
6/27/22 1:26,6/28/22 0:16,UTC-05:00,6/27/22 1:26,6/27/22 10:44,89,16.6,493,559,182,98,213,66,555,70,88,FALSE
6/26/22 2:26,6/27/22 1:26,UTC-05:00,6/26/22 2:26,6/26/22 9:19,70,16.6,365,413,169,65,131,48,522,0,88,FALSE
6/25/22 2:29,6/26/22 2:26,UTC-05:00,6/25/22 2:29,6/25/22 11:12,100,16.2,489,521,177,95,217,32,488,9,93,FALSE
6/24/22 1:33,6/25/22 2:29,UTC-05:00,6/24/22 1:33,6/24/22 10:43,97,16.3,503,549,197,89,217,46,516,28,92,FALSE
6/23/22 2:28,6/24/22 1:33,UTC-05:00,6/23/22 2:28,6/23/22 10:06,88,15.8,424,452,129,113,182,28,483,0,94,FALSE
6/21/22 23:44,6/23/22 2:28,UTC-05:00,6/21/22 23:44,6/22/22 11:24,100,16.6,643,700,355,105,183,57,493,0,91,FALSE
6/21/22 1:01,6/21/22 23:44,UTC-05:00,6/21/22 1:01,6/21/22 9:32,100,16,477,511,238,70,169,34,475,111,93,FALSE
6/20/22 1:13,6/21/22 1:01,UTC-05:00,6/20/22 9:25,6/20/22 11:38,21,16.4,120,130,96,9,15,10,584,111,92,TRUE
6/20/22 1:13,6/21/22 1:01,UTC-05:00,6/20/22 1:13,6/20/22 6:14,53,16.9,275,301,103,57,115,26,515,0,91,FALSE
6/18/22 23:36,6/20/22 1:13,UTC-05:00,6/18/22 23:36,6/19/22 10:26,100,16.5,547,650,246,108,193,103,490,6,84,FALSE
6/18/22 1:14,6/18/22 23:36,UTC-05:00,6/18/22 1:14,6/18/22 10:46,98,16.6,517,569,259,104,154,52,530,52,90,FALSE
6/17/22 1:15,6/18/22 1:14,UTC-05:00,6/17/22 1:15,6/17/22 10:16,78,16.6,395,540,157,90,148,145,505,9,73,FALSE
6/16/22 0:13,6/17/22 1:15,UTC-05:00,6/16/22 0:13,6/16/22 9:08,97,16.8,474,534,158,108,208,60,490,6,88,FALSE
6/15/22 0:21,6/16/22 0:13,UTC-05:00,6/15/22 0:21,6/15/22 10:23,98,16.6,548,602,213,114,221,54,562,66,91,FALSE
6/14/22 2:14,6/15/22 0:21,UTC-05:00,6/14/22 2:14,6/14/22 9:53,78,16.8,426,453,177,65,184,27,547,66,95,FALSE
6/13/22 2:40,6/14/22 2:14,UTC-05:00,6/13/22 2:40,6/13/22 10:16,78,17.1,415,452,220,106,89,37,530,54,92,FALSE
6/11/22 1:40,6/13/22 2:40,UTC-05:00,6/11/22 1:40,6/11/22 10:22,82,17.1,483,521,157,109,217,38,591,92,92,FALSE
6/10/22 1:01,6/11/22 1:40,UTC-05:00,6/10/22 1:01,6/10/22 8:00,61,16.9,387,418,185,73,129,31,639,151,92,FALSE
6/9/22 3:56,6/10/22 1:01,UTC-05:00,6/9/22 3:56,6/9/22 7:22,36,16.6,197,206,99,38,60,9,548,59,96,FALSE
6/8/22 3:18,6/9/22 3:56,UTC-05:00,6/8/22 3:18,6/8/22 10:53,75,17.1,417,453,190,69,158,36,557,21,92,FALSE
6/7/22 2:54,6/8/22 3:18,UTC-05:00,6/7/22 2:54,6/7/22 11:04,93,17.4,452,489,227,99,126,37,485,0,92,FALSE
6/6/22 2:00,6/7/22 2:54,UTC-05:00,6/6/22 2:00,6/6/22 11:44,100,16,535,581,241,89,205,46,518,42,92,FALSE
6/5/22 1:25,6/6/22 2:00,UTC-05:00,6/5/22 1:25,6/5/22 11:04,86,16.8,498,575,245,82,171,77,577,96,86,FALSE
6/4/22 1:54,6/5/22 1:25,UTC-05:00,6/4/22 1:54,6/4/22 8:10,59,17.6,347,375,186,51,110,28,593,106,92,FALSE
6/3/22 4:53,6/4/22 1:54,UTC-05:00,6/3/22 4:53,6/3/22 11:05,55,17.1,330,364,167,73,90,34,595,61,90,FALSE
6/2/22 3:25,6/3/22 4:53,UTC-05:00,6/2/22 3:25,6/2/22 11:24,74,17.1,389,479,149,82,158,90,528,33,81,FALSE
6/1/22 1:09,6/2/22 3:25,UTC-05:00,6/1/22 1:09,6/1/22 9:55,89,17.1,458,526,158,102,198,68,515,12,87,FALSE
5/31/22 0:04,6/1/22 1:09,UTC-05:00,5/31/22 0:04,5/31/22 9:20,96,16.5,508,557,196,128,184,49,529,39,91,FALSE
5/30/22 0:27,5/31/22 0:04,UTC-05:00,5/30/22 0:27,5/30/22 8:21,87,16.4,452,474,187,95,170,22,520,44,95,FALSE
5/29/22 0:28,5/30/22 0:27,UTC-05:00,5/29/22 0:28,5/29/22 8:18,81,15.5,437,469,170,84,183,32,538,44,93,FALSE
5/28/22 2:21,5/29/22 0:28,UTC-05:00,5/28/22 2:21,5/28/22 10:06,81,16.3,432,463,177,85,170,31,534,40,93,FALSE
5/27/22 1:12,5/28/22 2:21,UTC-05:00,5/27/22 1:12,5/27/22 8:21,83,15.5,385,429,152,89,144,44,466,56,89,FALSE
5/26/22 0:08,5/27/22 1:12,UTC-05:00,5/26/22 13:11,5/26/22 14:28,13,17.5,66,76,42,9,15,10,532,56,87,TRUE
5/26/22 0:08,5/27/22 1:12,UTC-05:00,5/26/22 0:08,5/26/22 8:04,76,17.2,412,475,233,72,107,63,546,33,86,FALSE
5/24/22 23:41,5/26/22 0:08,UTC-05:00,5/24/22 23:41,5/25/22 8:18,86,16.3,452,516,219,101,132,64,528,44,89,FALSE
5/24/22 1:51,5/24/22 23:41,UTC-05:00,5/24/22 1:51,5/24/22 9:59,81,15.5,402,487,175,96,131,85,500,0,83,FALSE
5/23/22 0:17,5/24/22 1:51,UTC-05:00,5/23/22 0:17,5/23/22 9:54,100,15.8,531,574,209,113,209,43,506,27,92,FALSE
5/21/22 23:46,5/23/22 0:17,UTC-05:00,5/21/22 23:46,5/22/22 8:40,91,16.5,487,534,212,91,184,47,536,45,91,FALSE
5/21/22 0:15,5/21/22 23:46,UTC-05:00,5/21/22 0:15,5/21/22 9:01,85,17.1,456,516,281,89,86,60,534,47,88,FALSE
5/20/22 0:21,5/21/22 0:15,UTC-05:00,5/20/22 0:21,5/20/22 8:52,80,15.8,420,503,202,80,138,83,525,36,83,FALSE
5/19/22 0:24,5/20/22 0:21,UTC-05:00,5/19/22 0:24,5/19/22 9:21,88,16.6,468,529,193,133,142,61,535,39,88,FALSE
5/18/22 0:20,5/19/22 0:24,UTC-05:00,5/18/22 0:20,5/18/22 8:57,87,17,467,511,226,90,151,44,536,49,91,FALSE
5/17/22 3:06,5/18/22 0:20,UTC-05:00,5/17/22 3:06,5/17/22 10:34,79,16.5,407,446,191,99,117,39,515,27,91,FALSE
5/15/22 23:09,5/17/22 3:06,UTC-05:00,5/15/22 23:09,5/16/22 8:01,91,17.2,492,530,271,84,137,38,540,56,94,FALSE
5/15/22 0:58,5/15/22 23:09,UTC-05:00,5/15/22 0:58,5/15/22 8:15,76,17.2,413,431,176,86,151,18,545,49,96,FALSE
5/14/22 2:07,5/15/22 0:58,UTC-05:00,5/14/22 2:07,5/14/22 9:55,79,17.6,418,467,189,105,124,49,531,39,89,FALSE
5/12/22 23:45,5/14/22 2:07,UTC-05:00,5/12/22 23:45,5/13/22 8:22,87,17.8,451,515,249,93,109,64,517,36,88,FALSE
5/11/22 22:55,5/12/22 23:45,UTC-05:00,5/11/22 22:55,5/12/22 7:41,88,17.1,476,526,211,101,164,50,543,15,90,FALSE
5/11/22 0:02,5/11/22 22:55,UTC-05:00,5/11/22 0:02,5/11/22 8:40,95,17.1,472,518,182,111,179,46,496,0,91,FALSE
5/9/22 22:41,5/11/22 0:02,UTC-05:00,5/9/22 22:41,5/10/22 9:27,100,16.7,586,645,313,116,157,59,550,60,90,FALSE
5/8/22 23:27,5/9/22 22:41,UTC-05:00,5/8/22 23:27,5/9/22 6:59,80,17.3,430,452,237,95,98,22,541,48,95,FALSE
5/8/22 0:04,5/8/22 23:27,UTC-05:00,5/8/22 0:04,5/8/22 7:55,84,17.6,450,470,250,82,118,20,534,56,95,FALSE
5/7/22 0:03,5/8/22 0:04,UTC-05:00,5/7/22 0:03,5/7/22 8:03,76,17.1,433,480,175,93,165,47,573,73,91,FALSE
5/6/22 1:28,5/7/22 0:03,UTC-05:00,5/6/22 1:28,5/6/22 8:02,69,16.5,362,394,151,85,126,32,524,42,92,FALSE
5/5/22 0:06,5/6/22 1:28,UTC-05:00,5/5/22 0:06,5/5/22 9:11,86,16.1,513,545,218,114,181,32,593,115,94,FALSE
5/4/22 1:42,5/5/22 0:06,UTC-05:00,5/4/22 1:42,5/4/22 6:46,51,16.5,294,304,134,62,98,10,574,85,97,FALSE
5/3/22 1:24,5/4/22 1:42,UTC-05:00,5/3/22 1:24,5/3/22 7:01,64,16.4,321,337,164,69,88,16,503,15,95,FALSE
5/2/22 0:43,5/3/22 1:24,UTC-05:00,5/2/22 0:43,5/2/22 9:01,95,16.5,472,494,280,60,132,22,498,6,96,FALSE
5/1/22 0:01,5/2/22 0:43,UTC-05:00,5/1/22 0:01,5/1/22 8:52,98,16.3,492,529,220,94,178,37,501,24,93,FALSE
4/30/22 1:56,5/1/22 0:01,UTC-05:00,4/30/22 1:56,4/30/22 10:47,92,16.2,480,517,262,71,147,37,522,40,93,FALSE
4/29/22 0:36,4/30/22 1:56,UTC-05:00,4/29/22 0:36,4/29/22 9:02,83,16.3,447,501,185,97,165,54,538,47,89,FALSE
4/28/22 0:08,4/29/22 0:36,UTC-05:00,4/28/22 0:08,4/28/22 8:29,80,16.5,485,497,262,74,149,12,607,111,97,FALSE
4/27/22 5:13,4/28/22 0:08,UTC-05:00,4/27/22 5:13,4/27/22 10:01,53,16.9,267,286,116,53,98,19,502,12,94,FALSE
4/26/22 0:01,4/27/22 5:13,UTC-05:00,4/26/22 0:01,4/26/22 8:23,96,16.5,472,499,218,105,149,27,490,0,94,FALSE
4/24/22 23:58,4/26/22 0:01,UTC-05:00,4/24/22 23:58,4/25/22 9:02,100,16.7,493,543,242,84,167,50,482,6,91,FALSE
4/24/22 1:14,4/24/22 23:58,UTC-05:00,4/24/22 1:14,4/24/22 10:19,98,16.6,513,541,226,107,180,28,521,21,94,FALSE
4/23/22 0:10,4/24/22 1:14,UTC-05:00,4/23/22 0:10,4/23/22 8:44,91,17.1,459,513,162,73,224,54,503,9,89,FALSE
4/22/22 1:03,4/23/22 0:10,UTC-05:00,4/22/22 1:03,4/22/22 10:13,97,16.8,503,546,176,132,195,43,520,35,92,FALSE
4/21/22 0:34,4/22/22 1:03,UTC-05:00,4/21/22 0:34,4/21/22 8:29,85,16.6,446,475,200,74,172,29,526,12,94,FALSE
4/19/22 23:52,4/21/22 0:34,UTC-05:00,4/19/22 23:52,4/20/22 8:36,96,16.5,488,517,230,84,174,29,510,26,94,FALSE
4/19/22 0:36,4/19/22 23:52,UTC-05:00,4/19/22 0:36,4/19/22 8:36,89,16.3,442,478,170,102,170,36,494,21,93,FALSE
4/8/22 0:32,4/9/22 0:32,UTC-05:00,4/8/22 11:36,4/8/22 12:43,10,17.3,50,67,30,6,14,17,497,21,78,TRUE
4/8/22 0:32,4/9/22 0:32,UTC-05:00,4/8/22 0:32,4/8/22 9:03,93,16,482,511,217,94,171,29,520,36,94,FALSE
4/7/22 0:55,4/8/22 0:32,UTC-05:00,4/7/22 0:55,4/7/22 8:43,88,16.8,437,464,203,87,147,27,499,24,94,FALSE
4/4/22 23:58,4/5/22 23:58,UTC-05:00,4/4/22 23:58,4/5/22 8:39,92,16.7,484,521,260,98,126,37,528,48,92,FALSE
4/3/22 0:00,4/4/22 0:00,UTC-05:00,4/3/22 0:00,4/3/22 8:19,84,16.6,454,499,268,65,121,45,540,42,90,FALSE
4/2/22 0:08,4/3/22 0:00,UTC-05:00,4/2/22 0:08,4/2/22 8:59,86,17,471,530,228,93,150,59,545,60,89,FALSE
